# a	b	verdict (R=same question incl. same reused passage set; V=same problem, numbers/names changed; F=false match, only template shared)	zone
# 261 further candidate pairs (cos<0.7, jac<0.15, <12 content words) rejected as a group after a read sample was all false
2009#1	2018#47	F	C:read
2012#6	2020#117	F	C:read
2009#19	2018#39	F	C:read
2008#45	2015#88	F	C:read
2011#18	2022#40	F	C:read
2022#46	2025#36	F	C:read
2013#47	2025#77	F	C:read
2012#11	2025#77	F	C:read
2011#26	2015#65	F	C:read
2011#21	2017#76	F	C:read
2012#4	2014#101	F	C:read
2016#118	2022#3	F	C:read
2008#30	2025#36	F	C:read
2023#4	2026#48	F	C:read
2015#47	2023#4	F	C:read
2009#20	2013#50	F	C:read
2016#95	2022#1	F	C:read
2019#27	2022#1	F	C:read
2022#1	2025#36	F	C:read
2009#50	2022#1	F	C:read
2009#50	2018#28	F	C:read
2017#76	2021#76	F	C:read
2011#25	2013#50	F	C:read
2013#40	2014#101	F	C:read
2011#21	2018#46	F	C:read
2008#45	2013#50	F	C:read
2012#11	2021#76	F	C:read
2013#47	2021#76	F	C:read
2021#38	2024#48	F	C:read
2013#50	2014#77	F	C:read
2011#20	2021#76	F	C:read
2011#21	2021#38	F	C:read
2011#21	2012#11	F	C:read
2011#21	2013#47	F	C:read
2010#53	2021#78	F	C:read
2008#30	2019#27	F	C:read
2018#28	2019#27	F	C:read
2018#28	2025#36	F	C:read
2019#27	2022#46	F	C:read
2008#51	2021#95	R	D:read
2008#53	2021#95	R	D:read
2020#42	2026#84	F	D:read
2023#114	2024#54	V	D:read
2022#48	2026#1	V	D:read
2009#39	2011#15	R	D:read
2023#26	2026#60	F	D:read
2015#79	2019#34	F	D:read
2009#88	2020#41	F	D:read
2008#52	2021#106	R	D:read
2015#5	2022#27	F	D:read
2012#2	2024#30	F	D:read
2020#54	2023#89	F	D:read
2017#2	2019#103	F	D:read
2020#42	2021#113	F	D:read
2020#42	2021#120	F	D:read
2020#120	2024#46	F	D:read
2010#12	2017#95	F	D:read
2010#13	2017#95	F	D:read
2008#53	2021#106	R	D:read
2022#36	2026#58	F	D:read
2010#12	2015#24	F	D:read
2016#86	2023#77	F	D:read
2010#50	2013#9	F	D:read
2008#55	2021#106	R	D:read
2023#90	2024#93	F	D:read
2013#33	2014#87	R	D:read
2011#5	2018#37	F	D:read
2015#64	2019#29	F	D:read
2015#5	2025#66	F	D:read
2008#114	2024#95	F	D:read
2010#13	2015#24	F	D:read
2008#51	2021#106	R	D:read
2008#54	2021#109	R	D:read
2017#36	2026#103	F	D:read
2011#38	2023#9	R	D:read
2013#64	2017#2	F	D:read
2008#54	2021#95	R	D:read
2012#20	2025#47	F	D:read
2016#117	2019#26	F	audit:old-270-pair read
2013#40	2020#118	F	audit:old-270-pair read
2010#31	2016#117	F	audit:old-270-pair read
2010#31	2019#26	F	audit:old-270-pair read
2014#101	2020#118	F	audit:old-270-pair read
2016#107	2021#62	F	audit:old-270-pair read
2016#26	2019#21	V	audit:old-270-pair read
2009#58	2016#117	F	audit:old-270-pair read
2009#58	2019#26	F	audit:old-270-pair read
2011#42	2013#40	F	audit:old-270-pair read
2016#113	2022#16	F	audit:old-270-pair read
2009#2	2010#31	F	audit:old-270-pair read
2008#13	2014#71	F	audit:old-270-pair read
2010#59	2020#109	V	audit:old-270-pair read
2016#50	2017#96	V	audit:old-270-pair read
2018#50	2021#34	F	audit:old-270-pair read
2018#82	2019#108	F	audit:old-270-pair read
2008#44	2018#46	F	audit:old-270-pair read
2009#2	2016#117	F	audit:old-270-pair read
2009#2	2019#26	F	audit:old-270-pair read
2013#45	2015#64	R	audit:old-270-pair read
2016#74	2020#114	F	audit:old-270-pair read
2013#77	2015#29	F	audit:old-270-pair read
2015#12	2021#86	R	audit:old-270-pair read
2015#12	2021#84	R	audit:old-270-pair read
2010#66	2022#12	F	audit:old-270-pair read
2014#85	2022#6	V	audit:old-270-pair read
2022#27	2025#66	F	audit:old-270-pair read
2022#16	2023#116	F	audit:old-270-pair read
2017#92	2021#84	R	audit:old-270-pair read
2009#58	2010#31	F	audit:old-270-pair read
2008#28	2018#62	F	audit:old-270-pair read
2016#117	2026#31	F	audit:old-270-pair read
2011#42	2014#101	F	audit:old-270-pair read
2019#26	2026#31	F	audit:old-270-pair read
2014#75	2015#51	V	audit:old-270-pair read
2014#75	2019#38	V	audit:old-270-pair read
2009#57	2016#53	F	audit:old-270-pair read
2009#2	2021#32	F	audit:old-270-pair read
2008#47	2017#67	F	audit:old-270-pair read
2015#13	2021#86	R	audit:old-270-pair read
2011#42	2020#118	F	audit:old-270-pair read
2016#117	2021#32	F	audit:old-270-pair read
2015#13	2021#84	R	audit:old-270-pair read
2016#50	2022#51	F	audit:old-270-pair read
2018#46	2025#64	F	audit:old-270-pair read
2015#5	2019#108	V	audit:old-270-pair read
2023#27	2026#52	F	audit:old-270-pair read
2010#9	2018#90	F	audit:old-270-pair read
2014#85	2020#2	V	audit:old-270-pair read
2008#22	2011#42	F	audit:old-270-pair read
2012#5	2014#95	F	audit:old-270-pair read
2021#62	2024#30	F	audit:old-270-pair read
2016#74	2017#67	F	audit:old-270-pair read
2010#31	2021#32	F	audit:old-270-pair read
2009#35	2022#36	V	audit:old-270-pair read
2018#88	2022#63	R	audit:old-270-pair read
2021#62	2026#41	F	audit:old-270-pair read
2014#101	2020#119	F	audit:old-270-pair read
2021#99	2025#109	F	audit:old-270-pair read
2008#25	2018#62	F	audit:old-270-pair read
2012#15	2024#98	F	audit:old-270-pair read
2009#38	2018#58	V	audit:old-270-pair read
2010#31	2026#31	F	audit:old-270-pair read
2021#62	2026#43	F	audit:old-270-pair read
2020#73	2024#27	F	audit:old-270-pair read
2008#44	2025#64	F	audit:old-270-pair read
2019#26	2021#32	F	audit:old-270-pair read
2008#48	2022#16	F	audit:old-270-pair read
2008#111	2026#55	F	audit:old-270-pair read
2008#112	2019#52	F	audit:old-270-pair read
2013#22	2020#96	F	audit:old-270-pair read
2008#28	2025#63	F	audit:old-270-pair read
2009#25	2016#104	F	audit:old-270-pair read
2016#113	2023#116	F	audit:old-270-pair read
2008#33	2015#5	F	audit:old-270-pair read
2008#48	2017#67	F	audit:old-270-pair read
2017#67	2020#114	F	audit:old-270-pair read
2015#82	2022#43	F	audit:old-270-pair read
2013#40	2020#119	F	audit:old-270-pair read
2017#52	2025#77	F	audit:old-270-pair read
2025#77	2026#109	F	audit:old-270-pair read
2015#66	2019#28	F	audit:old-270-pair read
2010#19	2025#114	F	audit:old-270-pair read
2019#52	2025#13	F	audit:old-270-pair read
2009#7	2018#46	F	audit:old-270-pair read
2016#107	2024#30	F	audit:old-270-pair read
2020#96	2026#37	F	audit:old-270-pair read
2014#80	2016#107	F	audit:old-270-pair read
2013#31	2026#45	F	audit:old-270-pair read
2013#39	2017#40	F	audit:old-270-pair read
2008#22	2014#101	F	audit:old-270-pair read
2008#22	2020#118	F	audit:old-270-pair read
2014#101	2020#5	F	audit:old-270-pair read
2013#28	2018#52	F	audit:old-270-pair read
2009#58	2026#31	F	audit:old-270-pair read
2012#16	2013#45	F	audit:old-270-pair read
2013#40	2020#5	F	audit:old-270-pair read
2008#22	2013#40	F	audit:old-270-pair read
2017#96	2022#51	F	audit:old-270-pair read
2024#30	2026#41	F	audit:old-270-pair read
2012#111	2024#95	F	audit:old-270-pair read
2008#47	2016#74	F	audit:old-270-pair read
2009#41	2016#70	R	audit:old-270-pair read
2016#76	2024#84	F	audit:old-270-pair read
2021#54	2025#77	F	audit:old-270-pair read
